"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\ParseResult.py", "Python", 15, 14, 7, 36
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\parsers\parse_audio.py", "Python", 91, 30, 26, 147
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\parsers\parse_container.py", "Python", 208, 78, 68, 354
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\parsers\parse_image.py", "Python", 40, 22, 15, 77
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\parsers\parse_tabular.py", "Python", 151, 28, 46, 225
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\parsers\parse_text.py", "Python", 345, 42, 93, 480
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\parsers\parse_video.py", "Python", 101, 39, 28, 168
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_1\registry.py", "Python", 85, 74, 34, 193
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\BaseTask.py", "Python", 45, 67, 16, 128
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\database.py", "Python", 261, 54, 43, 358
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\orchestrator.py", "Python", 206, 105, 59, 370
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\tasks\task_embed_text.py", "Python", 0, 0, 1, 1
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\tasks\task_extract_container.py", "Python", 53, 15, 10, 78
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\tasks\task_extract_text.py", "Python", 45, 7, 9, 61
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\tasks\task_ocr_images.py", "Python", 50, 10, 10, 70
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_2\watcher.py", "Python", 176, 78, 60, 314
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_3\BaseTool.py", "Python", 78, 75, 24, 177
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_3\tools\tool_lexical_search.py", "Python", 0, 0, 1, 1
"c:\Users\henry\Documents\My_Code\The Data Refinery\Stage_3\tools\tool_semantic_search.py", "Python", 0, 0, 1, 1
"c:\Users\henry\Documents\My_Code\The Data Refinery\config.py", "Python", 30, 17, 19, 66
"c:\Users\henry\Documents\My_Code\The Data Refinery\context.py", "Python", 9, 30, 3, 42
"c:\Users\henry\Documents\My_Code\The Data Refinery\main.pyw", "Python", 64, 17, 26, 107
"c:\Users\henry\Documents\My_Code\The Data Refinery\services\embedService.py", "Python", 123, 33, 29, 185
"c:\Users\henry\Documents\My_Code\The Data Refinery\services\llmService.py", "Python", 245, 15, 43, 303
"c:\Users\henry\Documents\My_Code\The Data Refinery\services\manager.py", "Python", 144, 89, 32, 265
"c:\Users\henry\Documents\My_Code\The Data Refinery\services\ocrService.py", "Python", 79, 23, 21, 123
"Total", "-", 2644, 962, 724, 4330